ID;Level name;Level description;Main type;Background;Bird lvl;Min enemies;Max enemies;Is boss?;Battles (read only);Has obstacles;Has scared powerups;Has friendly powerups;Has confident powerups;Has lonely powerups;Has health powerups;Has DMG powerups;targets(read only);Has wizards;Has drills;Bird to add;First complete event(read only);First complete dialogue(read only);Is trial
-200;Unknown lands;A blooming field, offering you three paths;Random;0;2;2;4;False;Rando, Rando, ;True;False;False;False;True;False;False;right1, left 1, ;False;False;none;none;none;False
-150;Unknown lands; ;Cautious;0;2;3;4;True;lonely, lonely, lonely, Brave, Brave, Brave, ;True;False;False;False;True;False;False;;False;False;none;none;none;True
-140;Unknown lands; ;Cautious;0;2;3;4;False;Cautious, Cautious, Cautious, Cautious, ;True;False;False;False;True;False;False;solconf trial, ;False;False;none;none;none;False
-130;Unknown lands; ;Cautious;0;2;3;4;False;Brave, Brave, ;True;False;False;False;True;False;False;left2, ;False;False;none;none;none;False
-120;Unknown lands; ;Cautious;0;3;3;4;False;Cautious, Cautious, ;True;False;False;False;True;False;True;solconf trial, ;False;False;none;none;none;False
-110;Unknown lands; ;Cautious;0;2;3;4;False;Cautious, Cautious, ;True;False;False;False;True;False;False;right2, ;False;False;none;none;none;False
-100;Unknown lands;A blooming field, offering you three paths;Random;0;2;2;4;False;Rando, Rando, ;True;False;False;False;True;False;False;right1, left 1, solconf trial, ;False;False;none;none;none;False
100;Birdtropolis outskirts ;The vultures seem to have travelled past Birdtropolis. Catch up to them! ;Confident;2;1;2;3;False;Rando/neutral, Cautious, ;True;False;False;False;False;False;False;lvl 2_A. Cautious, ;False;False;none;none;MapPlannningTutorial;False
110;Fields;The vultures ran over the fields, toward the mountain in the north! ;Random;3;1;2;4;False;Rando, Rando, ;True;False;True;False;False;False;False;lvl 3. , ;False;False;Kim;none;MapTutorial 3;False
120;Shadow of birdtropolis;;Solitary;3;1;2;4;False;lonely, lonely, ;True;False;True;False;False;False;False;lvl 4_a brave, lvl 4 b_cautious, ;False;False;Sophie;none;none;False
130;Great forest;You recieve reports of vultures hiding in the forest, confident they can stop your quest. They'll slow you down, at best! ;Confident;1;1;2;4;False;Brave, Brave, Rando, Brave, ;True;False;True;False;False;False;False;lvl 5 A social party cave, ;False;False;none;none;none;False
140;Unsettling farm;A group of vultures have become tired of the crushing pressure of reality and now hides in the farmlands, ready to pounce on you. ;Solitary;5;1;2;5;False;lonely, Cautious, lonely, ;False;True;False;False;False;True;False;lvl 4 A (neutral), ;False;False;none;none;none;False
150;Strange plains;In the shadow of the mountain, no one knows what type of birds to expect;Random;3;2;2;4;False;Rando, Rando/neutral, ;True;False;False;True;True;False;True;lvl 5 A social party cave, ;False;False;none;none;none;False
160;Spook cave;To exit to the great plains, you must pass through the spooky mountain filled to the brim with cautious vultures. Your worst nightmare! ;Cautious;4;3;2;5;False;Cautious, Cautious, Cautious, Cautious, Cautious, Cautious, ;True;False;False;False;False;False;True;lvl 6 B brave, ;False;True;none;none;none;True
200;Unknown lands;Thank you for playtesting Rock Paper Feelings! This is the end of the *ahem* balanced levels. Feel free to continue playing to experiment with the systems, or return to the main menu (via the menu) to access the feedback form.;Cautious;0;2;3;4;False;Cautious, Cautious, Cautious, Cautious, ;True;False;False;False;True;False;False;lvl 6 B brave, lvl 6 C Friendly, ;False;False;none;none;none;False
205;Field of fear;;Confident;0;2;3;5;False;Brave, Brave, Brave, Brave, ;True;False;True;False;False;False;False;;False;False;none;none;none;False
210;Field of fear;;Cautious;0;2;3;4;False;Cautious, Cautious, Cautious, Cautious, ;True;False;False;False;True;False;False;lvl 7 RANDO, ;False;False;none;none;none;False
215;Field of fear;;Social;0;2;3;4;False;Social, Social, Social, Social, ;True;True;False;False;False;False;False;;False;False;none;none;none;False
220;Field of fear;;Random;0;3;3;4;False;Rando, Rando, neutral, Rando, Rando, ;True;True;False;False;False;False;False;lvl 8 TEST OF LONELINESS, ;True;False;none;none;none;False
225;Bridge of emotions;;Random;0;3;3;4;False;lonely, lonely, lonely, Brave, Brave, Social, Social, Social, ;True;True;False;False;False;False;False;lvl 9 neutral rest, ;True;False;none;none;none;False
230;Field of fear;;Neutral;0;2;3;4;False;neutral, neutral, neutral, ;True;True;False;False;False;True;False;lvl 10 A rando, ;False;False;none;none;none;False
235;Field of fear;;Random;0;4;3;4;False;Rando, Rando, Rando, Rando, Rando, ;True;True;False;False;False;False;False;lvl 11 A lonely, lvl 11 B friendly, ;False;True;none;none;none;False
240;Field of fear;;Solitary;0;4;3;4;False;lonely, lonely, lonely, lonely, ;True;True;False;False;False;False;False;lvl 12 Cautious, ;True;True;none;none;none;False
245;Field of fear;;Social;0;4;3;4;False;Social, Social, Social, Social, Social, ;True;False;False;True;False;False;False;lvl lvl 13 friendly/brave, ;True;True;none;none;none;False
250;Field of fear;;Cautious;0;4;3;4;False;Cautious, Cautious, Cautious, Cautious, ;True;True;False;False;False;False;False;lvl lvl 13 friendly/brave, ;True;True;none;none;none;False
255;Field of fear;;Confident;0;4;3;4;False;Brave, Social, Brave, Social, ;True;True;False;False;False;False;False;lvl 14 B_neutral rest, lvl 14_A brave, ;True;True;none;none;none;False
260;Field of fear;;Neutral;0;3;3;4;False;neutral, neutral, neutral, neutral, ;True;True;True;True;True;True;False;;False;False;none;none;none;False
265;Test of determination;;Random;0;5;3;4;False;Brave, lonely, Brave, lonely, Brave, lonely, ;True;True;False;False;False;False;False;lvl 15 lonely, ;True;True;none;none;none;False
270;Test of friends;;Random;0;5;3;4;False;Social, lonely, Social, lonely, Social, lonely, ;True;True;False;False;False;False;False;lvl 18 - FINAL BOSS, ;True;True;none;none;none;False
275;Field of fear;;finish;0;6;3;4;False;Rando, Rando, Rando, Rando, Rando, Rando, Rando, Rando, Rando, Rando, ;True;True;False;False;False;False;False;;False;False;none;none;none;False

